faculty,phase,term,gender,race,grade,count
4,3a,Spring 2018,men,nonURM,D,4
4,3a,Spring 2018,men,nonURM,F,1
4,3a,Spring 2018,women,black,B,1
4,3a,Spring 2018,women,black,C,1
4,3a,Spring 2018,women,black,D,1
4,3a,Spring 2018,women,black,F,2
4,3a,Spring 2018,women,nonURM,C,1
4,3a,Spring 2018,women,nonURM,F,1
4,3b,Fall 2018,men,black,C,1
4,3b,Fall 2018,men,black,F,1
4,3b,Fall 2018,men,black,W,2
4,3b,Fall 2018,men,hispanic,C,1
4,3b,Fall 2018,men,hispanic,D,4
4,3b,Fall 2018,men,hispanic,F,1
4,3b,Fall 2018,men,hispanic,W,1
4,3b,Fall 2018,men,nonURM,A,2
4,3b,Fall 2018,men,nonURM,B,5
4,3b,Fall 2018,men,nonURM,C,2
4,3b,Fall 2018,men,nonURM,D,1
4,3b,Fall 2018,men,nonURM,F,1
4,3b,Fall 2018,men,nonURM,W,1
4,3b,Fall 2018,women,black,D,1
5,1a,Fall 2016,men,black,C,3
5,1a,Fall 2016,men,black,D,2
5,1a,Fall 2016,men,black,W,1
5,1a,Fall 2016,men,nonURM,A,1
5,1a,Fall 2016,men,nonURM,B,1
5,1a,Fall 2016,men,nonURM,C,2
5,1a,Fall 2016,men,nonURM,D,4
5,1a,Fall 2016,men,nonURM,F,2
5,1a,Fall 2016,women,black,A,1
5,1a,Fall 2016,women,black,C,1
5,1a,Fall 2016,women,black,F,1
5,1a,Fall 2016,women,hispanic,B,1
5,1a,Fall 2016,women,nonURM,A,1
5,1a,Fall 2016,women,nonURM,B,1
5,1a,Fall 2016,women,nonURM,C,1
5,1b,Spring 2017,men,black,C,3
5,1b,Spring 2017,men,black,D,2
5,1b,Spring 2017,men,black,W,1
5,1b,Spring 2017,men,nonURM,A,1
5,1b,Spring 2017,men,nonURM,B,1
5,1b,Spring 2017,men,nonURM,C,2
5,1b,Spring 2017,men,nonURM,D,4
5,1b,Spring 2017,men,nonURM,F,2
5,1b,Spring 2017,women,black,A,1
5,1b,Spring 2017,women,black,C,1
5,1b,Spring 2017,women,black,F,1
5,1b,Spring 2017,women,hispanic,B,1
5,1b,Spring 2017,women,nonURM,A,1
5,1b,Spring 2017,women,nonURM,B,1
5,1b,Spring 2017,women,nonURM,C,1
5,2a,Fall 2017,men,black,B,3
5,2a,Fall 2017,men,black,F,1
5,2a,Fall 2017,men,black,W,2
5,2a,Fall 2017,men,hispanic,C,2
5,2a,Fall 2017,men,hispanic,F,1
5,2a,Fall 2017,men,nonURM,A,3
5,2a,Fall 2017,men,nonURM,B,2
5,2a,Fall 2017,men,nonURM,C,4
5,2a,Fall 2017,men,nonURM,F,1
5,2a,Fall 2017,men,nonURM,W,2
5,2a,Fall 2017,women,black,B,2
5,3a,Spring 2018,men,black,B,1
5,3a,Spring 2018,men,black,F,1
5,3a,Spring 2018,men,black,W,1
5,3a,Spring 2018,men,hispanic,A,2
5,3a,Spring 2018,men,hispanic,B,1
5,3a,Spring 2018,men,hispanic,C,2
5,3a,Spring 2018,men,hispanic,F,1
5,3a,Spring 2018,men,nonURM,A,4
5,3a,Spring 2018,men,nonURM,B,3
5,3a,Spring 2018,men,nonURM,D,2
5,3a,Spring 2018,men,nonURM,F,1
5,3a,Spring 2018,men,nonURM,W,1
5,3a,Spring 2018,women,hispanic,A,1
